S. Number,Constituency Name,Winner,State,Winner Party,Margin
1,Araku,Gumma Thanuja Rani,Andhra Pradesh,YSRCP,"50,580"
2,Srikakulam,Kinjarapu Rammohan Naidu,Andhra Pradesh,TDP,"3,27,901"
3,Vizianagaram,Appalanaidu Kalisetti,Andhra Pradesh,TDP,"2,49,351"
4,Visakhapatnam,Sribharat Mathukumili,Andhra Pradesh,TDP,"5,04,247"
5,Anakapalle,CM Ramesh,Andhra Pradesh,BJP,"2,96,530"
6,Kakinada,Tangella Uday Srinivas,Andhra Pradesh,JSP,"2,29,491"
7,Amalapuram,Ganti Madhur Harish Balayogi,Andhra Pradesh,TDP,"3,42,196"
8,Rajahmundry,Daggubati Purandheshwari,Andhra Pradesh,BJP,"2,39,139"
9,Narasapuram,Bhupathi Raju Srinivasa Varma,Andhra Pradesh,BJP,"2,76,802"
10,Eluru,Putta Mahesh Kumar,Andhra Pradesh,TDP,"1,81,857"
11,Machilipatnam,Balashowry Vallabhaneni,Andhra Pradesh,JSP,"2,23,179"
12,Vijayawada,Kesineni SivanathÂ Chinni,Andhra Pradesh,TDP,"2,82,085"
13,Guntur,Dr Chandra Sekhar Pemmasani,Andhra Pradesh,TDP,"3,44,695"
14,Narasaraopet,Lavu Srikrishna Devarayalu,Andhra Pradesh,TDP,"1,59,729"
15,Bapatla,Tenneti Krishna Prasad,Andhra Pradesh,TDP,"2,08,031"
16,Ongole,Magunta Sreenivasulu Reddy,Andhra Pradesh,TDP,"50,199"
17,Nandyal,Dr Byreddy Shabari,Andhra Pradesh,TDP,"1,11,975"
18,Kurnool,Bastipati Nagaraju Panchalingala,Andhra Pradesh,TDP,"1,11,298"
19,Ananthapur,Ambika G Lakshminarayana Valmiki,Andhra Pradesh,TDP,"1,88,555"
20,Hindupur,BK Parthasarathi,Andhra Pradesh,TDP,"1,32,427"
21,Kadapa,YS Avinash Reddy,Andhra Pradesh,YSRCP,"62,695"
22,Nellore,Prabhakar Reddy Vemireddy,Andhra Pradesh,TDP,"2,45,902"
23,Tirupati,Gurumoorthy Maddila,Andhra Pradesh,YSRCP,"14,569"
24,Rajampet,PV Midhun Reddy,Andhra Pradesh,YSRCP,"76,071"
25,Chitoor,Daggumalla Prasada Rao,Andhra Pradesh,TDP,"2,20,479"
26,Arunachal West,Kiren Rijiju,Arunachal Pradesh,BJP,"1,00,738"
27,Arunachal East,Tapir Gao,Arunachal Pradesh,BJP,"30,421"
28,Kokrajhar,Joyanta Basumatary,Assam,UPPL,"51,583"
29,Dhubri,Rakibul Hussain,Assam,Congress,"10,12,476"
30,Barpeta,Phani Bhusan Choudhury,Assam,AGP,"2,22,351"
31,Darrang-Udalguri,Dilip Saikia,Assam,BJP,"3,29,012"
32,Guwahati,Bijuli Kalita Medhi,Assam,BJP,"2,51,090"
33,Diphu,Amarsing Tisso,Assam,BJP,"1,47,603"
34,Karimganj,Kripanath Mallah,Assam,BJP,"18,360"
35,Silchar,Parimal Suklabaidya,Assam,BJP,"2,64,311"
36,Nagaon,Pradyut Bordoloi,Assam,Congress,"2,12,231"
37,Kaziranga,Kamakhya Prasad Tasa,Assam,BJP,"2,48,947"
38,Sonitpur,Ranjit Dutta,Assam,BJP,"3,61,408"
39,Lakhimpur,Pradan Baruah,Assam,BJP,"2,01,257"
40,Dibrugarh,Sarbananda Sonowal,Assam,BJP,"2,79,321"
41,Jorhat,Gaurav Gogoi,Assam,Congress,"1,44,393"
42,Valmiki Nagar,Sunil Kumar,Bihar,JDU,"98,675"
43,Paschim Champaran,Dr Sanjay Jaiswal,Bihar,BJP,"1,36,568"
44,Purvi Champaran,Radha Mohan Singh,Bihar,BJP,"88,287"
45,Sheohar,Lovely Anand,Bihar,JDU,"29,143"
46,Sitamarhi,Devesh Chandra Thakur,Bihar,JDU,"51,356"
47,Madhubani,Ashok Kumar Yadav,Bihar,BJP,"1,51,945"
48,Jhanjharpur,Ramprit Mandal,Bihar,JDU,"1,84,169"
49,Supaul,Dileshwar Kamait,Bihar,JDU,"1,69,803"
50,Araria,Pradeep Kumar Singh,Bihar,BJP,"20,094"
51,Kishanganj,Mohammad Jawed,Bihar,Congress,"59,692"
52,Katihar,Tariq Anwar,Bihar,Congress,"49,863"
53,Purnia,Rajesh Ranjan alias Pappu Yadav,Bihar,Independent,"23,847"
54,Madhepura,Dinesh Chandra Yadav,Bihar,JDU,"1,74,534"
55,Darbhanga,Gopal Jee Thakur,Bihar,BJP,"1,78,156"
56,Muzaffarpur,Raj Bhushan Choudhary,Bihar,BJP,"2,34,927"
57,Vaishali,Veena Devi,Bihar,LJP-RV,"89,634"
58,Gopalganj,Dr Alok Kumar Suman,Bihar,JDU,"1,27,180"
59,Siwan,Vijaylakshmi Devi Kushwaha,Bihar,JDU,"92,857"
60,Maharajganj,Janardan Singh Sigriwal,Bihar,BJP,"1,02,651"
61,Saran,Rajiv Pratap Rudy,Bihar,BJP,"13,661"
62,Hajipur,Chirag Paswan,Bihar,LJP-RV,"1,70,105"
63,Ujiarpur,Nityanand Rai,Bihar,BJP,"60,102"
64,Samastipur,Shambhavi Choudhary,Bihar,LJP-RV,"1,87,251"
65,Begusarai,Giriraj Singh,Bihar,BJP,"81,480"
66,Khagaria,Rajesh Verma,Bihar,LJP-RV,"1,61,131"
67,Bhagalpur,Ajay Kumar Mandal,Bihar,JDU,"1,04,868"
68,Banka,Girdhari Yadav,Bihar,JDU,"1,03,844"
69,Munger,Rajiv Ranjan Singh alias Lalan Singh,Bihar,JDU,"80,870"
70,Nalanda,Kaushalendra Kumar,Bihar,JDU,"1,69,114"
71,Patna Sahib,Ravi Shankar Prasad,Bihar,BJP,"1,53,846"
72,Pataliputra,Misha Bharti,Bihar,RJD,"85,174"
73,Arrah,Sudama Prasad,Bihar,CPI-ML,"59,808"
74,Buxar,Sudhakar Singh,Bihar,RJD,"30,091"
75,Sasaram,Manoj Kumar,Bihar,Congress,"19,157"
76,Karakat,Raja Ram Singh,Bihar,CPI-ML,"1,05,858"
77,Jahanabad,Surendra Prasad Yadav,Bihar,RJD,"1,42,591"
78,Aurangabad,Abhay Kumar Sinha,Bihar,RJD,"79,111"
79,Gaya,Jitan Ram Manjhi,Bihar,HAM-S,"1,01,812"
80,Nawada,Vivek Thakur,Bihar,BJP,"67,670"
81,Jamui,Arun Bharti,Bihar,LJP-RV,"1,12,482"
82,Chandigarh,Manish Tewari,Chandigarh,Congress,"2,504"
83,Sarguja,Chintamani Maharaj,Chhattisgarh,BJP,"64,822"
84,Raigarh,Radheyshyam Rathiya,Chhattisgarh,BJP,"2,40,391"
85,Janjgir-Champa,Kamlesh Jangde,Chhattisgarh,BJP,"60,000"
86,Korba,Jyotsna Charandas Mahant,Chhattisgarh,Congress,"43,283"
87,Bilaspur,Tokhan Sahu,Chhattisgarh,BJP,"1,64,558"
88,Rajnandgaon,Santosh Pandey,Chhattisgarh,BJP,"44,411"
89,Durg,Vijay Baghel,Chhattisgarh,BJP,"4,38,226"
90,Raipur,Brijmohan Agrawal,Chhattisgarh,BJP,"5,75,285"
91,Mahasamund,Roop Kumari Choudhary,Chhattisgarh,BJP,"1,45,456"
92,Bastar,Mahesh Kashyap,Chhattisgarh,BJP,"55,245"
93,Kanker,Bhojraj Nag,Chhattisgarh,BJP,"1,884"
94,Dadra and Nagar Haveli,Kalaben Mohanbhai Delkar,Dadra and Nagar Haveli,BJP,"57,584"
95,Daman and Diu,Umeshbhai Babubhai Patel,Daman and Diu,Independent,"6,225"
96,North Goa,Shripad Yesso Naik,Goa,BJP,"1,16,015"
97,South Goa,Captain Viriato Fernandes,Goa,Congress,"13,535"
98,Kachchh,Vinodbhai Lakhamshi Chavda,Gujarat,BJP,"2,68,782"
99,Banaskantha,Geniben Nagaji Thakor,Gujarat,Congress,"30,406"
100,Patan,Bharatsinhji Shankarji Dabhi,Gujarat,BJP,"31,876"
101,Mahesana,Haribhai Patel,Gujarat,BJP,"3,28,046"
102,Sabarkantha,Shobhaben Mahendrasinh Baraiya,Gujarat,BJP,"1,55,682"
103,Gandhinagar,Amit Shah,Gujarat,BJP,"7,44,716"
104,Ahmedabad East,Hasmukhbhai Patel,Gujarat,BJP,"4,61,755"
105,Ahmedabad West,Dineshbhai Makwana,Gujarat,BJP,"2,86,437"
106,Surendranagar,Chandubhai Chhaganbhai Shihora,Gujarat,BJP,"2,61,617"
107,Rajkot,Parshottambhai Rupala,Gujarat,BJP,"4,84,260"
108,Porbandar,Dr Mansukh Mandaviya,Gujarat,BJP,"3,83,360"
109,Jamnagar,Poonamben Hematbhai Maadam,Gujarat,BJP,"2,38,008"
110,Junagadh,Rajeshbhai Naranbhai Chudasama,Gujarat,BJP,"1,35,494"
111,Amreli,Bharatbhai Manubhai Sutariya,Gujarat,BJP,"3,21,068"
112,Bhavnagar,Nimuben Jayantibhai Bambhaniya,Gujarat,BJP,"4,55,289"
113,Anand,Mitesh Patel,Gujarat,BJP,"89,939"
114,Kheda,Devusinh Chauhan,Gujarat,BJP,"3,57,758"
115,Panchmahal,Rajpalsinh Mahendrasinh Jadav,Gujarat,BJP,"5,09,342"
116,Dahod,Jaswantsinh Sumanbhai Bhabhor,Gujarat,BJP,"3,33,677"
117,Vadodara,Dr Hemang Joshi,Gujarat,BJP,"5,82,126"
118,Chhota Udaipur,Jashubhai Bhilubhai Rathva,Gujarat,BJP,"3,98,777"
119,Bharuch,Mansukhbhai Dhanjibhai Vasava,Gujarat,BJP,"85,696"
120,Bardoli,Parbhubhai Nagarbhai Vasava,Gujarat,BJP,"2,30,253"
121,Surat,Mukeshkumar Dalal,Gujarat,BJP,Won Uncontested
122,Navsari,CR Patil,Gujarat,BJP,"7,73,551"
123,Valsad,Dhaval Laxmanbhai Patel,Gujarat,BJP,"2,10,704"
124,Ambala,Varun Chaudhry,Haryana,Congress,"49,036"
125,Kurukshetra,Naveen Jindal,Haryana,BJP,"29,021"
126,Sirsa,Kumari Selja,Haryana,Congress,"2,68,497"
127,Hisar,Jai Parkash,Haryana,Congress,"63,381"
128,Karnal,Manohar Lal Khattar,Haryana,BJP,"2,32,577"
129,Sonipat,Satpal Brahamchari,Haryana,Congress,"21,816"
130,Rohtak,Deepender Singh Hooda,Haryana,Congress,"3,45,298"
131,Bhiwani-Mahendragarh,Dharambir Singh,Haryana,BJP,"41,510"
132,Gurgaon,Rao Inderjit Singh,Haryana,BJP,"75,079"
133,Faridabad,Krishan Pal Gurjar,Haryana,BJP,"1,72,914"
134,Kangra,Dr Rajeev Bhardwaj,Himachal Pradesh,BJP,"2,51,895"
135,Mandi,Kangana Ranaut,Himachal Pradesh,BJP,"74,755"
136,Hamirpur,Anurag Singh Thakur,Himachal Pradesh,BJP,"1,82,357"
137,Shimla,Suresh Kumar Kashyap,Himachal Pradesh,BJP,"91,451"
138,Baramulla,Abdul Rashid Sheikh,Jammu and Kashmir,Independent,"2,04,142"
139,Srinagar,Aga Syed Ruhullah Mehdi,Jammu and Kashmir,JKNC,"1,88,416"
140,Anantnag-Rajouri,Mian Altaf Ahmad,Jammu and Kashmir,JKNC,"2,81,794"
141,Udhampur,Dr Jitendra Singh,Jammu and Kashmir,BJP,"1,24,373"
142,Jammu,Jugal Kishore Sharma,Jammu and Kashmir,BJP,"1,35,498"
143,Rajmahal,Vijay Kumar Hansdak,Jharkhand,JMM,"1,78,264"
144,Dumka,Nalin Soren,Jharkhand,JMM,"22,527"
145,Godda,Nishikant Dubey,Jharkhand,BJP,"1,01,813"
146,Chatra,Kali Charan Singh,Jharkhand,BJP,"2,20,959"
147,Kodarma,Annapurna Devi,Jharkhand,BJP,"3,77,014"
148,Giridih,Chandra Prakash Choudhary,Jharkhand,AJSU,"80,880"
149,Dhanbad,Dulu Mahato,Jharkhand,BJP,"3,31,583"
150,Ranchi,Sanjay Seth,Jharkhand,BJP,"1,20,512"
151,Jamshedpur,Bidyut Baran Mahato,Jharkhand,BJP,"2,59,782"
152,Singhbhum,Joba Majhi,Jharkhand,JMM,"1,68,402"
153,Khunti,Kali Charan Munda,Jharkhand,Congress,"1,49,675"
154,Lohardaga,Sukhdeo Bhagat,Jharkhand,Congress,"1,39,138"
155,Palamau,Vishnu Dayal Ram,Jharkhand,BJP,"2,88,807"
156,Hazaribagh,Manish Jaiswal,Jharkhand,BJP,"2,76,686"
157,Chikkodi,Priyanka Satish Jarkiholi,Karnataka,Congress,"90,834"
158,Belagavi,Jagadish Shettar,Karnataka,BJP,"1,78,437"
159,Bagalkot,Parvatagouda C Gaddigoudar,Karnataka,BJP,"68,399"
160,Bijapur,Ramesh Jigajinagi,Karnataka,BJP,"77,229"
161,Kalaburagi (Gulbarga),Radhakrishna,Karnataka,Congress,"27,205"
162,Raichur,G Kumair Naik,Karnataka,Congress,"79,781"
163,Bidar,Sagar Eshwar Khandre,Karnataka,Congress,"1,28,875"
164,Koppal,K Rajashekar Basavaraj Hintal,Karnataka,Congress,"46,357"
165,Bellary,E Tukaram,Karnataka,Congress,"98,992"
166,Haveri,Basavaraj Bommai,Karnataka,BJP,"43,513"
167,Dharwad,Pralhad Joshi,Karnataka,BJP,"97,324"
168,Uttara Kannada,Vishweshwar Hegde Kageri,Karnataka,BJP,"3,37,428"
169,Davanagere,Dr Prabha Mallikarjun,Karnataka,Congress,"26,094"
170,Shimoga,BY Raghavendra,Karnataka,BJP,"2,43,715"
171,Udupi Chikmagalur,Kota Srinivas Poojary,Karnataka,BJP,"2,59,175"
172,Hassan,Shreyas M Patel,Karnataka,Congress,"42,649"
173,Dakshina Kannada,Captain Brijesh Chowta,Karnataka,BJP,"1,49,208"
174,Chitradurga,Govind M Karjol,Karnataka,BJP,"48,121"
175,Tumkur,V Somanna,Karnataka,BJP,"1,75,594"
176,Mandya,HD Kumaraswamy,Karnataka,JDS,"2,84,620"
177,Mysore,Yaduveer Krishnadatta Chamaraja Wadiyar,Karnataka,BJP,"1,39,262"
178,Chamarajanagar,Sunil Bose,Karnataka,Congress,"1,88,706"
179,Bangalore Rural,Dr CN Manjunath,Karnataka,BJP,"2,69,647"
180,Bangalore North,Shobha Karandlaje,Karnataka,BJP,"2,59,476"
181,Bangalore Central,PC Mohan,Karnataka,BJP,"32,707"
182,Bangalore South,Tejasvi Surya,Karnataka,BJP,"2,77,083"
183,Chikballapur,Dr K Sudhakar,Karnataka,BJP,"1,63,460"
184,Kolar,M Mallesh Babu,Karnataka,JDS,"71,388"
185,Kasaragod,Rajmohan Unnithan,Kerala,Congress,"1,00,649"
186,Kannur,K Sudhakaran,Kerala,Congress,"1,08,982"
187,Vatakara,Shafi Parambil,Kerala,Congress,"1,14,506"
188,Wayanad,Rahul Gandhi,Kerala,Congress,"3,64,422"
189,Kozhikode,MK Raghavan,Kerala,Congress,"1,46,176"
190,Malappuram,ET Mohammed Basheer,Kerala,IUML,"3,00,118"
191,Ponnani,Dr MP Abdussamad Samadani,Kerala,IUML,"2,35,760"
192,Palakkad,VK Sreekandan,Kerala,Congress,"75,283"
193,Alathur,K Radhakrishnan,Kerala,CPM,"20,111"
194,Thrissur,Suresh Gopi,Kerala,BJP,"74,686"
195,Chalakudy,Benny Behanan,Kerala,Congress,"63,754"
196,Ernakulam,Hibi Eden,Kerala,Congress,"2,50,385"
197,Idukki,Advocate Dean Kuriakose,Kerala,Congress,"1,33,727"
198,Kottayam,K Francis George,Kerala,KEC,"87,266"
199,Alappuzha,KC Venugopal,Kerala,Congress,"63,513"
200,Mavelikara,Kodikunnil Suresh,Kerala,Congress,"10,868"
201,Pathanamthitta,Anto Antony,Kerala,Congress,"66,119"
202,Kollam,NK Premachandran,Kerala,RSP,"1,50,302"
203,Attingal,Advocate Adoor Prakash,Kerala,Congress,684
204,Thiruvananthapuram,Shashi Tharoor,Kerala,Congress,"16,077"
205,Ladakh,Mohmad Haneefa,Ladakh,Independent,"27,862"
206,Lakshadweep,Muhammed Hamdullah Sayeed,Lakshadweep,Congress,"2,647"
207,Morena,Shivmangal Singh Tomar,Madhya Pradesh,BJP,"52,530"
208,Bhind,Sandhya Ray,Madhya Pradesh,BJP,"64,840"
209,Gwalior,Bharat Singh Kushwah,Madhya Pradesh,BJP,"70,210"
210,Guna,Jyotiraditya Scindia,Madhya Pradesh,BJP,"5,40,929"
211,Sagar,Dr Lata Wankhede,Madhya Pradesh,BJP,"4,71,222"
212,Tikamgarh,Dr Virendra Kumar Khatik,Madhya Pradesh,BJP,"4,03,312"
213,Damoh,Rahul Singh Lodhi,Madhya Pradesh,BJP,"4,06,426"
214,Khajuraho,Vishnu Datt Sharma,Madhya Pradesh,BJP,"5,41,229"
215,Satna,Ganesh Singh,Madhya Pradesh,BJP,"84,949"
216,Rewa,Janardan Mishra,Madhya Pradesh,BJP,"1,93,374"
217,Sidhi,Dr Rajesh Mishra,Madhya Pradesh,BJP,"2,06,416"
218,Shahdol,Himadri Singh,Madhya Pradesh,BJP,"3,97,340"
219,Jabalpur,Ashish Dubey,Madhya Pradesh,BJP,"4,86,674"
220,Mandla,Faggan Singh Kulaste,Madhya Pradesh,BJP,"1,03,846"
221,Balaghat,Bharti Pardhi,Madhya Pradesh,BJP,"1,74,512"
222,Chhindwara,Bunty Vivek Sahu,Madhya Pradesh,BJP,"1,13,618"
223,Hoshangabad,Darshan Singh Choudhary,Madhya Pradesh,BJP,"4,31,696"
224,Vidisha,Shivraj Singh Chouhan,Madhya Pradesh,BJP,"8,21,408"
225,Bhopal,Alok Sharma,Madhya Pradesh,BJP,"5,01,499"
226,Rajgarh,Rodmal Nagar,Madhya Pradesh,BJP,"1,46,089"
227,Dewas,Mahendra Singh Solanky,Madhya Pradesh,BJP,"4,25,225"
228,Ujjain,Anil Firojiya,Madhya Pradesh,BJP,"3,75,860"
229,Mandsaur,Sudheer Gupta,Madhya Pradesh,BJP,"5,00,655"
230,Ratlam,Anita Nagarsingh Chouhan,Madhya Pradesh,BJP,"2,07,232"
231,Dhar,Savitri Thakur,Madhya Pradesh,BJP,"2,18,665"
232,Indore,Shankar Lalwani,Madhya Pradesh,BJP,"11,75,092"
233,Khargone,Gajendra Singh Patel,Madhya Pradesh,BJP,"1,35,018"
234,Khandwa,Gyaneshwar Patil,Madhya Pradesh,BJP,"2,69,971"
235,Betul,Durgadas Uikey,Madhya Pradesh,BJP,"3,79,761"
236,Nandurbar,Gowaal Kagada Padavi,Maharashtra,Congress,"1,59,120"
237,Dhule,Shobha Dinesh Bachhav,Maharashtra,Congress,"3,831"
238,Jalgaon,Smita Uday Wagh,Maharashtra,BJP,"2,51,594"
239,Raver,Raksha Nikhil Khadse,Maharashtra,BJP,"2,72,183"
240,Buldhana,Prataprao Ganpatrao Jadhav,Maharashtra,Shiv Sena,"29,479"
241,Akola,Anup Sanjay Dhotre,Maharashtra,BJP,"40,626"
242,Amravati,Balwant Baswant Wankhede,Maharashtra,Congress,"19,731"
243,Wardha,Amar Sharadrao Kale,Maharashtra,NCP-Sharad Pawar,"81,648"
244,Ramtek,Shyamkumar Daulat Barve,Maharashtra,Congress,"76,768"
245,Nagpur,Nitin Jairam Gadkari,Maharashtra,BJP,"1,37,603"
246,Bhandara-Gondiya,Dr Prashant Yadaorao Padole,Maharashtra,Congress,"37,380"
247,Gadchiroli-Chimur,Dr Kirsan Namdeo,Maharashtra,Congress,"1,41,696"
248,Chandrapur,Pratibha Suresh Dhanorkar,Maharashtra,Congress,"2,60,406"
249,Yavatmal-Washim,Sanjay Uttamrao Deshmukh,Maharashtra,Shiv Sena-UBT,"94,473"
250,Hingoli,Nagesh Bapurao Aashtikar Patil,Maharashtra,Shiv Sena-UBT,"1,08,602"
251,Nanded,Vasantrao Balwantrao Chavan,Maharashtra,Congress,"59,442"
252,Parbhani,Sanjay Haribhau Jadhav,Maharashtra,Shiv Sena-UBT,"1,34,061"
253,Jalna,Kalyan Vaijinathrao Kale,Maharashtra,Congress,"1,09,958"
254,Aurangabad,Sandipanrao Asaram Bhumare,Maharashtra,Shiv Sena,"1,34,650"
255,Dindori,Bhaskar Murlidhar Bhagare,Maharashtra,NCP-Sharad Pawar,"1,13,199"
256,Nashik,Rajabhau Prakash Waje,Maharashtra,Shiv Sena-UBT,"1,62,001"
257,Palghar,Dr Hemant Vishnu Savara,Maharashtra,BJP,"1,83,306"
258,Bhiwandi,Suresh Gopinath Mhatre,Maharashtra,NCP-Sharad Pawar,"66,121"
259,Kalyan,Dr Shrikant Eknath Shinde,Maharashtra,Shiv Sena,"2,09,144"
260,Thane,Naresh Ganpat Mhaske,Maharashtra,Shiv Sena,"2,17,011"
261,Mumbai North,Piyush Goyal,Maharashtra,BJP,"3,57,608"
262,Mumbai North West,Ravindra Dattaram Waikar,Maharashtra,Shiv Sena,48
263,Mumbai North East,Sanjay Dina Patil,Maharashtra,Shiv Sena-UBT,"29,861"
264,Mumbai North Central,Varsha Eknath Gaikwad,Maharashtra,Congress,"16,514"
265,Mumbai South Central,Anil Yeshwant Desai,Maharashtra,Shiv Sena-UBT,"53,384"
266,Mumbai South,Arvind Ganpat Sawant,Maharashtra,Shiv Sena-UBT,"52,673"
267,Raigad,Sunil Dattatrey Tatkare,Maharashtra,NCP,"82,784"
268,Maval,Shrirang Appa Chandu Barne,Maharashtra,Shiv Sena,"96,615"
269,Pune,Murlidhar Mohol,Maharashtra,BJP,"1,23,038"
270,Baramati,Supriya Sule,Maharashtra,NCP-Sharad Pawar,"1,58,333"
